block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
12616000,1623451764,24083596.843824,6334613.993671375,13.693276428499718,USDC,BNT,3.8019044045753736,902014.204740946
12617000,1623464266,23604551.198895,6463679.716337757,13.693276428499718,USDC,BNT,3.651875129151519,902049.5880906265
12618000,1623477739,23517622.562139,6488034.839712083,13.693276428499718,USDC,BNT,3.624768230002697,902081.7968155245
12619000,1623492044,23628773.718028,6457721.855977969,13.693276428499718,USDC,BNT,3.658995268765662,902096.2633451348
12620000,1623505786,24127470.753424,6325159.664283752,13.693276428499718,USDC,BNT,3.8145235905528945,902161.4592265419
12621000,1623519101,23971128.94203,6366690.797682841,13.693276428499718,USDC,BNT,3.7650845162379016,902181.1481046536
12622000,1623532220,24083583.517115,6337352.685621356,13.693276428499718,USDC,BNT,3.8002593057125535,902208.9213888241
12623000,1623545346,23869760.640848,6390023.90922797,13.689757672067062,USDC,BNT,3.7354728213735116,902151.5778083858
12624000,1623558527,23697870.498647,6436699.288204783,13.689757672067062,USDC,BNT,3.6816805380473845,902174.4227558109
12625000,1623572662,23666660.871991,6444793.817379834,13.68917223048522,USDC,BNT,3.67221381204912,902185.4530069059
12626000,1623585384,23801411.540594,6408476.442950015,13.68917223048522,USDC,BNT,3.7140514992105507,902197.3877863617
12627000,1623598958,23655522.277289,6448111.410876733,13.689019793566183,USDC,BNT,3.6685970154589214,902215.2951677585
12628000,1623612139,24137052.848407,6319849.850246632,13.689019793566183,USDC,BNT,3.8192446688373543,902242.2272421448
12629000,1623625762,24563705.950936,6210826.5259934785,13.689019793566183,USDC,BNT,3.954981812506317,902296.5421992585
12630000,1623638807,24558012.786212,6212674.17533991,13.689019793566183,USDC,BNT,3.952889221792864,902326.1587503268
12631000,1623652837,24586016.42988,6205327.40257498,13.688780902535672,USDC,BNT,3.962082068333368,902322.239628648
12632000,1623665801,24471721.221141,6231150.446332385,13.685215765191892,USDC,BNT,3.9273199117740605,902328.6102449117
12633000,1623679518,24870014.745752,6131610.22224352,13.685215765191892,USDC,BNT,4.056033218734541,902347.13165841
12634000,1623693038,24776529.557144,6140643.743413381,13.667940272731,USDC,BNT,4.034842370349195,902452.0089845007
12635000,1623705972,24768605.869827,6142948.124821479,13.667940272731,USDC,BNT,4.032038911373161,902476.9798827916
12636000,1623719127,24990931.135051,6088752.845281306,13.667940272731,USDC,BNT,4.104441709178359,902510.61647917
12637000,1623732728,25147918.944308,6051075.245414337,13.667940272731,USDC,BNT,4.155942196118905,902535.3691813725
12638000,1623746246,25064000.788907,6071498.574239536,13.667940272731,USDC,BNT,4.1281407682857445,902547.513631862
12639000,1623759426,24950643.116388,6099319.326505645,13.667940272731,USDC,BNT,4.090725830333342,902564.994070029
12640000,1623772999,24726306.844043,6154929.985854827,13.667940272731,USDC,BNT,4.017317321377928,902585.0034713047
12641000,1623785935,24800679.751186,6136875.465372247,13.667940272731,USDC,BNT,4.0412551780015065,902614.6435878179
12642000,1623798983,24679823.122119,6131604.096003711,13.628873225704014,USDC,BNT,4.025019022053974,902605.8053023412
12643000,1623812712,24534176.851786,6168354.32520531,13.628873225704014,USDC,BNT,3.9774266454723146,902631.4269745457
12644000,1623826249,24600890.577558,6151717.345313882,13.628873225704014,USDC,BNT,3.9990281081912706,902638.0754425063
12645000,1623839905,24520136.75695,6172126.08922561,13.628873225704014,USDC,BNT,3.972721296111181,902648.9619283063
12646000,1623853349,24295209.593061,6229742.476124305,13.628873225704014,USDC,BNT,3.8998738208157393,902683.3258565572
12647000,1623866280,24119454.315749,6275504.773556449,13.628873225704014,USDC,BNT,3.843428566476899,902709.7211486086
12648000,1623880295,24106856.938709,6279274.732101718,13.628873225704014,USDC,BNT,3.8391148607444765,902744.9879698384
12649000,1623893348,24116618.108251,6277552.400400752,13.628873225704014,USDC,BNT,3.8417231063991473,902803.8961144992
12650000,1623906874,24201447.365543,6255695.671326301,13.628873225704014,USDC,BNT,3.8687059980352165,902814.4976951595
12651000,1623920011,24323954.576539,6224418.5882569775,13.628873225704014,USDC,BNT,3.9078275716271245,902831.1512979333
12652000,1623933520,24145291.636406,6270630.760380144,13.628873225704014,USDC,BNT,3.85053634300455,902842.2827272498
12653000,1623947516,24065348.035855,6291671.5218547,13.628873225704014,USDC,BNT,3.824953027547894,902857.3585163698
12654000,1623960298,23794935.571742,6354911.557793404,13.620093192385424,USDC,BNT,3.744337801611237,902852.7867111586
12655000,1623973631,23930395.684884,6319203.745552296,13.620093192385424,USDC,BNT,3.786932127600278,902871.6984914464
12656000,1623986401,23729264.11787,6373270.017255172,13.620093192385424,USDC,BNT,3.723247885877221,902907.4060766479
12657000,1623999534,23673931.426577,6388377.22783959,13.620093192385424,USDC,BNT,3.705781700462139,902922.3224209954
12658000,1624013564,23665023.62933,6391020.994036751,13.620093192385424,USDC,BNT,3.702854935292976,902939.2132361059
12659000,1624027506,23300991.511154,6491220.185042559,13.620093192385424,USDC,BNT,3.5896165662113075,902963.7010125605
