block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11838000,1613082589,54893553496518914398730,6796241211013019279751865,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11839000,1613095108,63456055436707710256702,5885024656368552107951690,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11840000,1613109029,59605322956762706857436,6267549731941120581973041,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11841000,1613122099,58857855995852833377219,6347549731941120581973041,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11842000,1613135673,58629667013306749073764,6373730220004481405096523,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11843000,1613148664,63665549003757548059793,5872028993032954513809410,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11844000,1613161539,62229972652377677331007,6010153886952133666786064,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11845000,1613174936,60191079655596169892487,6222224076635498967783936,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11846000,1613188056,60947723963508763914386,6147323854932261763650667,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11847000,1613202096,63338423807274892381105,5916444788877447343346587,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11848000,1613215266,62832420214226677964971,5964332615068720618037352,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11849000,1613228654,62012656604771259318742,6043588037962391606831093,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11850000,1613242198,62063865148536255339450,6038626440338880270347144,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11851000,1613255952,60577175662904136604333,6187600672867268233626773,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11852000,1613268672,59139746196298483594921,6341611139547811045247388,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11853000,1613281191,55726714860333450302301,6733673769170497525837083,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11854000,1613294883,57229347169817699582392,6557756253313242407131068,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11855000,1613308097,57229347169817699582392,6557756253313242407131068,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11856000,1613321565,55558391125261347266966,6756006253313242407131068,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11857000,1613334583,55261504635076328175405,6794854430711978679377781,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11858000,1613347854,61072646807190576198960,6151441834387812836320540,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11859000,1613361379,61160705070956615154994,6144540153699732136422585,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11860000,1613374252,61160705070956615154994,6144540153699732136422585,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11861000,1613387512,60108235269958918616624,6252678615031954019909223,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11862000,1613400787,60108235269958918616624,6252678615031954019909223,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11863000,1613413713,62368047268743426897905,6027255030621535622998620,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11864000,1613427639,62258422443031517010182,6043527974392710319634680,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11865000,1613440945,62258422443031517010182,6043527974392710319634680,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11866000,1613454603,61021323836345370925295,6167010575289985422319065,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11867000,1613467545,61021323836345370925295,6167010575289985422319065,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11868000,1613480678,61021323836345370925295,6167010575289985422319065,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11869000,1613493695,59614338092115455842092,6313309823289985422319065,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11870000,1613507075,59614338092115455842092,6313309823289985422319065,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11871000,1613521053,59614338092115455842092,6313309823289985422319065,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11872000,1613534269,59614338092115455842092,6313309823289985422319065,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11873000,1613547535,56496338994831941818268,6668571827098002996898676,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11874000,1613560114,55242033542757549730011,6820770911769419751854677,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11875000,1613573596,55242033542757549730011,6820770911769419751854677,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11876000,1613586767,55312382376287725870342,6817152885991911452825641,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11877000,1613599998,53641305977649914606462,7030626846995956892825641,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11878000,1613613641,53641305977649914606462,7030626846995956892825641,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11879000,1613626921,51588747439754577037546,7311815877854036282556332,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11880000,1613640635,48444498478676516627463,7788884661679990275513368,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11881000,1613653130,49585366410868862146657,7610572814166301182559966,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
11882000,1613667120,47129385901292169615109,8009268137848567089022912,100000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfF20817765cB7f73d4bde2e66e067E58D11095C2
