block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
11898000,1613880066,17827.538446195897,167.82471909051472,1503.410796355635,BNT,ROOK,106.22713115688742,1.1505248162415418
11899000,1613893445,18564.29498401785,171.6193356030843,1551.395028486622,BNT,ROOK,108.17134863493912,1.150535287163514
11900000,1613907178,38630.54779367314,354.8780234170425,3218.1306388943585,BNT,ROOK,108.85584692370658,1.1505389240668065
11901000,1613920024,165748.81312036095,1564.4592617790727,13995.797464784702,BNT,ROOK,105.94639129936475,1.1505611191278529
11902000,1613933193,182959.21327065604,1871.5128042453011,16082.229693032898,BNT,ROOK,97.76006493550838,1.1506077180001706
11903000,1613945917,188950.43945831366,1955.6376443047689,16706.511098558072,BNT,ROOK,96.61832804690448,1.1506212325411864
11904000,1613958980,184755.24490354006,1992.574247895125,16674.40803040477,BNT,ROOK,92.72188732676238,1.1506817362959871
11905000,1613972265,185338.33621946484,2006.6086860710593,16758.35925692959,BNT,ROOK,92.36396588233522,1.150753958721393
11906000,1613986046,186016.5857819099,2019.279508110533,16841.875088258632,BNT,ROOK,92.12027608598282,1.150756963217342
11907000,1613999100,182162.20475419547,2062.09261525267,16841.875088258632,BNT,ROOK,88.33851758490245,1.1507812534632686
11908000,1614012304,185159.23213058236,2028.7818931593392,16841.875088258632,BNT,ROOK,91.26620892807824,1.150800186559485
11909000,1614025585,214327.5351875048,2531.4729174815902,20239.940307128807,BNT,ROOK,84.66515035867985,1.1508438472628053
11910000,1614038768,210683.98663714385,2575.477854547462,20239.940307128807,BNT,ROOK,81.80384322278057,1.150894319355778
11911000,1614052613,204412.28790989603,2654.693241372304,20239.940307128807,BNT,ROOK,77.00034215788645,1.150936715006347
11912000,1614066081,206994.71345499638,2621.6400467691924,20239.940307128807,BNT,ROOK,78.9561914535478,1.1509512551772423
11913000,1614079671,206994.71345499638,2621.6400467691924,20239.940307128807,BNT,ROOK,78.9561914535478,1.1509512551772423
11914000,1614092734,208174.05937433918,2606.9073120357084,20239.940307128807,BNT,ROOK,79.85479898469352,1.150977604458973
11915000,1614105044,211120.12116674535,2599.097943626921,20351.661786812805,BNT,ROOK,81.22822831067958,1.151002479848193
11916000,1614118064,204985.74989051122,2677.0371530783036,20351.661786812805,BNT,ROOK,76.57187336933286,1.1510366656312832
11917000,1614131789,203695.32297630465,2695.089918985855,20351.661786812805,BNT,ROOK,75.58015839892789,1.1512702487554705
11918000,1614144701,206979.01140833017,2652.493766036333,20351.661786812805,BNT,ROOK,78.0318559306635,1.1513051924713449
11919000,1614158755,206979.01140833017,2652.493766036333,20351.661786812805,BNT,ROOK,78.0318559306635,1.1513051924713449
11920000,1614171899,210021.8264627053,2614.140862896497,20351.661786812805,BNT,ROOK,80.34066925911513,1.15132207489221
11921000,1614185477,807657.6053071205,11229.611542077315,82709.07573797354,BNT,ROOK,71.92213214863492,1.1514440566466684
11922000,1614198960,1181910.5183865458,16765.06362503801,122249.42642679451,BNT,ROOK,70.49842128969948,1.1514579208845037
11923000,1614211964,1173841.6371156818,16880.873851278055,122249.42642679451,BNT,ROOK,69.53678153496834,1.1514773169395633
11924000,1614225205,1221715.970393096,16224.775038613543,122262.37067177265,BNT,ROOK,75.29940892773669,1.1515469647552843
11925000,1614238568,1231470.525711225,16096.524443951575,122262.37067177265,BNT,ROOK,76.50536797550492,1.1515565107071752
11926000,1614251639,1227969.7476711299,16142.505713897086,122262.37067177265,BNT,ROOK,76.0705784736982,1.1515598002343856
11927000,1614264731,1246278.0146685683,15906.243203198159,122262.37067177265,BNT,ROOK,78.35150002094697,1.1515915343210539
11928000,1614278463,1238839.8402857536,16001.969435087694,122262.37067177265,BNT,ROOK,77.41796066485016,1.1515995526981782
11929000,1614291732,1229592.9257910203,16336.478866796893,123067.74836567146,BNT,ROOK,75.2667043992025,1.1516371092381348
11930000,1614304874,1204205.0023347693,16682.745159040285,123067.74836567146,BNT,ROOK,72.1826648345232,1.1517009271539493
11931000,1614318381,1210780.9430597145,16593.300377386968,123070.9845481133,BNT,ROOK,72.96806033293676,1.1517109634123148
11932000,1614331548,1221376.640197465,16450.21850252014,123070.9845481133,BNT,ROOK,74.24683386487253,1.1517413661378926
11933000,1614344326,1227411.291855021,16370.003217155541,123072.87270990596,BNT,ROOK,74.97929447983923,1.151747031936327
11934000,1614357856,1262476.5501697215,15916.229964179965,123072.87270990596,BNT,ROOK,79.3200747294409,1.1517797133895364
