pool address,pool symbol,reserve address,reserve symbol,reserve decimals
0xB2145C7f9249d79197fe3cB87333187eB4FC1Eec,SUSHIBNT,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,SUSHI,18
0xa301Ad444e72F11590e3712bBb7aD0aC959b90C2,SXPBNT,0x8CE9137d39326AD0cD6491fb5CC0CbA0e089b6A9,SXP,18
0x0dc75ECCcF5B784b793686e614C2E9dCdda63738,TOMOEBNT,0x05D3606d5c81EB9b7B18530995eC9B29da05FaBa,TOMOE,18
0x8b3082e273E4B923830c637a203c1C1D963cA307,UNIBNT,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,18
0x9Ca631b980DeC1eEba001BBfaC8da5A9e7d744fF,UMABNT,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,UMA,18
0x50e78c51cF2CC220393769C555593d018b288159,bDIGGBNT,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a,bDIGG,18
0x22c876b7c93b222033Af648316c5Ab0dee1D4B4c,bBADGERBNT,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28,bBADGER,18
0x3D9E2dA44Af9386484d0D35C29eB62122e4F4742,vBNTBNT,0x48Fb253446873234F2fEBbF9BdeAA72d9d387f94,vBNT,18
0xFEdD9fEF8f30b78fa14E2b7841A66AbA5EA5e850,AMPBNT,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,AMP,18
0x713017efCbdFA00a36ab42f5B9587BB1208571e1,ROOKBNT,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a,ROOK,18
0x7F6D555de5baa78946fF2985fdE2dd0535F0f9cB,GRTBNT,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,GRT,18
0x13FAC856D064ACE14Cd4E253cD7B35850c44D07d,ALPHABNT,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,ALPHA,18
0x0162F828c99E967bf2337A61470ec0EF8b64ff06,AXSBNT,0xF5D669627376EBd411E34b98F19C868c8ABA5ADA,AXS,18
0x1fC156A8248D1087ce38a5483BFBABaA730FFcb8,BNTarNXM,0x1337DEF18C680aF1f9f45cBcab6309562975b1dD,arNXM,18
0x110708CE1C5FC4D798a9d5cD3c8D1c212B5Bb045,ARMORBNT,0x1337DEF16F9B486fAEd0293eb623Dc8395dFE46a,ARMOR,18
0x5189426a5906D00CbEf2675764596e9a6A427FD5,BONDBNT,0x0391D2021f89DC339F60Fff84546EA23E337750f,BOND,18
0xAbf26410b1cfF45641aF087eE939E52e328ceE46,MPHBNT,0x8888801aF4d980682e47f1A9036e589479e835C5,MPH,18
