block,timestamp,ROI,Token Price,Trade Volume,sINV
11045841.0,1602572531.0,1.0,4.684426518954585e-05,44990119.59340365,1.0031281604442577
11047341.0,1602592789.0,1.00161672317087,4.2255728904557644e-05,25816894.01289444,1.0047499409846001
11048841.0,1602612674.0,1.0026230634444466,2.8581225425812263e-05,19387613.44695452,1.0057594292520138
11050341.0,1602632083.0,1.0032161222221234,3.2549164361818104e-05,11153776.946694702,1.0063543432126998
11051841.0,1602652549.0,1.0035195499454233,3.229144267004115e-05,5774847.232936725,1.0066587201066015
11053341.0,1602672663.0,1.0036146321576505,3.115044653770365e-05,1870898.76139082,1.006754099751244
11054841.0,1602692248.0,1.003718087407239,2.9697039248354316e-05,2072966.7080178258,1.0068578786254518
11056341.0,1602712345.0,1.004148673201047,3.2142024408759795e-05,8342573.291048138,1.007289811360708
11057841.0,1602730939.0,1.004210867288684,3.256160633421628e-05,1199226.521447033,1.00735220000143
11059341.0,1602751274.0,1.0060094291669526,4.358885739677825e-05,30493798.981836613,1.0091563880698229
11060841.0,1602770926.0,1.0068737136582833,4.1534636206218986e-05,15014341.748966515,1.0100233761817117
11062341.0,1602790567.0,1.0074868429823864,4.3946536111878885e-05,10726280.38460517,1.0106384234727137
11063841.0,1602810416.0,1.007899064210254,4.108069856581917e-05,7087520.900410175,1.0110519341947204
11065341.0,1602830359.0,1.0081425376212692,4.1223457313502945e-05,4257773.381348223,1.0112961692296292
11066841.0,1602849959.0,1.0082248451963525,4.192886425871453e-05,1459947.6592773497,1.0113787342760132
11068341.0,1602869762.0,1.0083467575066336,4.016654455659938e-05,2168480.7964757085,1.0115010279475611
11069841.0,1602889787.0,1.0085362510353466,3.5868507099262344e-05,3558680.2029437423,1.0116911142424352
11071341.0,1602909553.0,1.00859564382947,3.562029327439291e-05,1136847.703872323,1.0117506928267477
11072841.0,1602930035.0,1.0088625516962824,3.7953377515645644e-05,4935823.456190348,1.0120184356241912
11074341.0,1602949733.0,1.0089386281669068,3.4840624417372685e-05,1451088.6496773062,1.0120947500742221
11075841.0,1602970182.0,1.0089875445873977,3.490326171226584e-05,948414.9840300679,1.0121438195131245
11077341.0,1602989821.0,1.009305973519857,3.7094554447341555e-05,6034271.993843257,1.012463244542375
11078841.0,1603009781.0,1.0093390507984212,3.603709466997423e-05,626712.4197491109,1.0124964252919733
11080341.0,1603029951.0,1.00937773427097,3.46734743658445e-05,748543.2080567181,1.0125352297726309
11081841.0,1603049454.0,1.009431326072619,3.4921987451945433e-05,1047672.4930721223,1.012588989218034
11083341.0,1603069902.0,1.0094603937928033,3.52722112725778e-05,562646.9734485149,1.0126181478667104
11084841.0,1603089199.0,1.0094886563007923,3.432649668459564e-05,552329.2001005709,1.0126464987843593
11086341.0,1603109578.0,1.0095035380080382,3.4428553310759084e-05,291286.4491105676,1.0126614270439729
11087841.0,1603128916.0,1.0095455633840138,3.390003195121089e-05,828473.3860121368,1.0127035838820673
11089341.0,1603148409.0,1.0096773630743998,3.0511045713988696e-05,2659635.5862338543,1.0128357958630314
11090841.0,1603168111.0,1.0097561938587978,3.174029990945152e-05,1609865.9179628491,1.0129148732427709
11092341.0,1603188146.0,1.0098196034675238,3.2071579150508975e-05,1277428.892493397,1.012978481206927
11093841.0,1603207918.0,1.0098495259869016,3.111498707290002e-05,607292.4548327923,1.013008497328746
11095341.0,1603227477.0,1.0099070068964302,3.0068130363049976e-05,1190772.246694237,1.013066158047782
11096841.0,1603248353.0,1.0101220169941785,3.249527051060411e-05,4412729.490648508,1.013281840731613
11098341.0,1603267779.0,1.0101463546713487,3.21051288144386e-05,488345.150139749,1.0133062545409426
11099841.0,1603287522.0,1.0101801081885409,3.113239525935705e-05,685227.3817106485,1.013340113644552
11101341.0,1603307935.0,1.0102271478783995,2.9996742913778224e-05,972547.6883594394,1.013387300482108
11102841.0,1603327488.0,1.010259349064042,2.9591890247042102e-05,672272.9530004561,1.0134196023982256
11104341.0,1603347602.0,1.0105115203180468,2.9351439001389874e-05,5338827.94699198,1.013672562484372
11105841.0,1603367981.0,1.0105294162397147,2.9189293147365667e-05,373453.0347517133,1.0136905143873545
11107341.0,1603387092.0,1.0105726738064158,2.779491796158989e-05,921598.774848491,1.0137339072706646
11108841.0,1603406807.0,1.0108209583157506,2.627811031865342e-05,5506184.0381447375,1.0139829684537802
11110341.0,1603426905.0,1.0109950357673936,2.303640744730955e-05,3960956.8284940124,1.014157590447622
11111841.0,1603447224.0,1.0111027476850016,2.204416325991192e-05,2562466.845219761,1.01426563930539
11113341.0,1603466878.0,1.0111456656827011,2.259813890015353e-05,1029383.5302589835,1.0143086915574722
11114841.0,1603486556.0,1.0111718044413474,2.2432331768694102e-05,622514.4887775183,1.0143349120823493
11116341.0,1603506824.0,1.0112824193130312,2.322078316974832e-05,2647105.589496106,1.0144458729750991
11117841.0,1603526345.0,1.0113359906738553,2.3559511048322048e-05,1250546.6278539598,1.0144996119157352
11119341.0,1603546360.0,1.0113519018014059,2.3308100963956126e-05,373041.4083878994,1.014515572815846
11120841.0,1603566097.0,1.011387519841665,2.2332512981992553e-05,850856.1227007508,1.0145513022750494
11122341.0,1603585414.0,1.011646428191736,2.252653003390361e-05,6144828.386410832,1.0148110205319798
11123841.0,1603605834.0,1.0116592620933027,2.2277267951987117e-05,307922.8625075817,1.0148238945800496
11125341.0,1603625505.0,1.0116604256203123,2.2281417890847674e-05,27902.077895075083,1.0148250617467585
11126841.0,1603645770.0,1.011664594318547,2.2249063766287203e-05,100092.1445427537,1.01482924348535
