block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11784000,1612364550,516714.27135261573,732.5542955082553,18027.012907500128,9352003.336090537,705.3596907709249,1.0792482876959837
11785000,1612378161,516714.27135261573,732.5542955082553,18027.012907500128,9352003.336090537,705.3596907709249,1.0792482876959837
11786000,1612391605,516794.27135261573,732.4412359002391,18027.012907500128,9352083.336090537,705.5777938518531,1.079248538298296
11787000,1612404799,517356.4413643906,731.6477363027202,18027.012907500128,9352645.506102314,707.1113811938776,1.0792502980284469
11788000,1612418476,517215.48177147686,731.8477363027201,18027.012907500128,9352786.465695228,706.7255333526602,1.0792507404364404
11789000,1612431355,517215.48177147686,731.8477363027201,18027.012907500128,9352786.465695228,706.7255333526602,1.0792507404364404
11790000,1612444968,514956.7019428797,735.0686172471001,18027.012907500128,9355299.245523823,700.5559615256602,1.0792586259072685
11791000,1612457705,514856.7019428797,735.2118183467148,18027.012907500128,9355399.245523823,700.2834953070368,1.079258941226784
11792000,1612470909,514856.7019428797,735.2118183467148,18027.012907500128,9355399.245523823,700.2834953070368,1.079258941226784
11793000,1612484334,514856.7019428797,735.2118183467148,18027.012907500128,9355399.245523823,700.2834953070368,1.079258941226784
11794000,1612497710,514856.7019428797,735.2118183467148,18027.012907500128,9355399.245523823,700.2834953070368,1.079258941226784
11795000,1612510985,514856.7019428797,735.2118183467148,18027.012907500128,9355399.245523823,700.2834953070368,1.079258941226784
11796000,1612525058,515527.32865623396,734.2594767082824,18027.012907500128,9356349.94804192,702.1051072672097,1.0792619271993025
11797000,1612538016,515527.32865623396,734.2594767082824,18027.012907500128,9356349.94804192,702.1051072672097,1.0792619271993025
11798000,1612550762,515527.32865623396,734.2594767082824,18027.012907500128,9356349.94804192,702.1051072672097,1.0792619271993025
11799000,1612564738,515527.32865623396,734.2594767082824,18027.012907500128,9356349.94804192,702.1051072672097,1.0792619271993025
11800000,1612578268,515527.32865623396,734.2594767082824,18027.012907500128,9356349.94804192,702.1051072672097,1.0792619271993025
11801000,1612590945,515527.32865623396,734.2594767082824,18027.012907500128,9356349.94804192,702.1051072672097,1.0792619271993025
11802000,1612604452,515527.32865623396,734.2594767082824,18027.012907500128,9356349.94804192,702.1051072672097,1.0792619271993025
11803000,1612617616,514828.27905524115,735.2594767082824,18027.012907500128,9357048.99764291,700.1994470851297,1.0792641290041023
11804000,1612630794,505213.55121084384,749.3634162964328,18027.012907500128,9382166.520756658,674.1903063639709,1.0793442180343775
11805000,1612644443,496766.51234336727,762.1916975848741,18027.012907500128,9401017.332606163,651.7605924040515,1.0794051681081689
11806000,1612657422,497074.8076732969,761.7203891331686,18027.012907500128,9401325.627936097,652.5685996655068,1.0794061724229682
11807000,1612670597,497074.8076732969,761.7203891331686,18027.012907500128,9401325.627936097,652.5685996655068,1.0794061724229682
11808000,1612683509,497074.8076732969,761.7203891331686,18027.012907500128,9401325.627936097,652.5685996655068,1.0794061724229682
11809000,1612697536,497009.75509850646,761.8203891331686,18027.012907500128,9401390.680510882,652.3975495904292,1.079406384954657
11810000,1612710284,497509.7550985067,761.0570501129795,18027.012907500128,9401890.680510884,653.7088842743798,1.0794080121722365
11811000,1612723509,497509.7550985067,761.0570501129795,18027.012907500128,9401890.680510884,653.7088842743798,1.0794080121722365
11812000,1612736507,496197.13959822134,763.0774548261301,18027.012907500128,9403438.864207873,650.2578951323908,1.0794130634352264
11813000,1612749886,496197.13959822134,763.0774548261301,18027.012907500128,9403438.864207873,650.2578951323908,1.0794130634352264
11814000,1612763547,496258.0265108802,762.9841121281212,18027.012907500128,9403499.751120528,650.4172480429683,1.0794132620883772
11815000,1612776638,496258.0265108802,762.9841121281212,18027.012907500128,9403499.751120528,650.4172480429683,1.0794132620883772
11816000,1612790073,496953.9676617218,761.9188207289418,18027.012907500128,9404195.69227137,652.2400472878157,1.0794155302481263
11817000,1612802846,496953.9676617218,761.9188207289418,18027.012907500128,9404195.69227137,652.2400472878157,1.0794155302481263
11818000,1612817059,495154.0486030784,764.6967819851178,18027.012907500128,9405995.611330016,647.5168462428742,1.0794214121854564
11819000,1612830176,496629.01336696756,762.4940933205513,18027.012907500128,9421030.707256632,651.3217842832332,1.0794698480353833
11820000,1612843406,496829.01336696756,762.1880695141075,18027.012907500128,9421230.707256632,651.8456969336909,1.0794704998516802
11821000,1612857207,496829.01336696756,762.1880695141075,18027.012907500128,9421230.707256632,651.8456969336909,1.0794704998516802
11822000,1612870434,496829.01336696756,762.1880695141075,18027.012907500128,9421230.707256632,651.8456969336909,1.0794704998516802
11823000,1612883550,496829.01336696756,762.1880695141075,18027.012907500128,9421230.707256632,651.8456969336909,1.0794704998516802
11824000,1612896468,496829.01336696756,762.1880695141075,18027.012907500128,9421230.707256632,651.8456969336909,1.0794704998516802
11825000,1612910026,496829.01336696756,762.1880695141075,18027.012907500128,9421230.707256632,651.8456969336909,1.0794704998516802
11826000,1612923205,496829.01336696756,762.1880695141075,18027.012907500128,9421230.707256632,651.8456969336909,1.0794704998516802
11827000,1612936595,496965.65378416603,761.9791348652625,18027.012907500128,9421367.347673833,652.2037560412232,1.079470945051634
11828000,1612950119,497840.9431174686,760.6500957227942,18027.012907500128,9423692.058340527,654.4940254617387,1.0794785022117577
11829000,1612963297,497840.9431174686,760.6500957227942,18027.012907500128,9423692.058340527,654.4940254617387,1.0794785022117577
11830000,1612976449,497840.9431174686,760.6500957227942,18027.012907500128,9423692.058340527,654.4940254617387,1.0794785022117577
11831000,1612990007,497840.9431174686,760.6500957227942,18027.012907500128,9423692.058340527,654.4940254617387,1.0794785022117577
11832000,1613002726,497840.9431174686,760.6500957227942,18027.012907500128,9423692.058340527,654.4940254617387,1.0794785022117577
11833000,1613016059,497840.9431174686,760.6500957227942,18027.012907500128,9423692.058340527,654.4940254617387,1.0794785022117577
11834000,1613029631,497384.59044279996,761.3500957227942,18027.012907500128,9424148.411015196,653.2928717512062,1.07947999095495
11835000,1613043007,497384.59044279996,761.3500957227942,18027.012907500128,9424148.411015196,653.2928717512062,1.07947999095495
11836000,1613055867,495891.0230140157,763.6500957227942,18027.012907500128,9425641.978443982,649.3694242841087,1.0794848678366886
