block,timestamp,ROI,Token Price,Trade Volume,sINV
10565841.0,1596178878.0,1.0105403518643843,0.0001487665896916734,33570231.70217711,1.0116568036480602
10567341.0,1596198620.0,1.0129846793021409,0.00012956546863154391,27859821.36056891,1.014103831595225
10568841.0,1596217966.0,1.0143826287243107,0.0001248411797297625,17012364.22478819,1.0155033254813275
10570341.0,1596237908.0,1.0153593490423445,0.00013249426893168796,11338439.895322325,1.0164811248865435
10571841.0,1596258785.0,1.015874780089618,0.00010431061453446209,6146843.072852733,1.016997125385508
10573341.0,1596277853.0,1.0167506276872291,0.00011337212700271534,11071028.37651661,1.017873940625441
10574841.0,1596297781.0,1.0174538309900871,0.0001043388630872132,8804323.110846072,1.0185779208320422
10576341.0,1596317456.0,1.0178810310075348,9.681592194803675e-05,5578354.243495077,1.0190055928229451
10577841.0,1596337467.0,1.0184775783809756,8.907974769916005e-05,8127667.600234748,1.0196027992659402
10579341.0,1596357429.0,1.0188606432120966,9.20195465981262e-05,5417431.907168329,1.0199862873096652
10580841.0,1596376968.0,1.019110314622052,9.295435691190389e-05,3411549.5838663583,1.0202362345582752
10582341.0,1596397645.0,1.01941317757826,7.52886971044928e-05,4241345.242464364,1.020539432119516
10583841.0,1596417852.0,1.0200150115418127,0.00011068817685611646,8308800.576666594,1.0211419309932832
10585341.0,1596437890.0,1.0203284825294994,0.00011905048368290472,3852473.9091467857,1.0214557483058275
10586841.0,1596458711.0,1.0206153413826058,0.00010330279190325301,3589302.287568212,1.0217429240825258
10588341.0,1596477971.0,1.020825899204102,0.00010752657878809612,2513884.765298307,1.0219537145297206
10589841.0,1596497748.0,1.0210374101572883,0.00011442141554141,2592696.430882156,1.0221654591616325
10591341.0,1596517917.0,1.021204125509254,0.00010652850301684792,2102679.955119073,1.022332358701841
10592841.0,1596538628.0,1.021413584222658,0.00010530196780845699,2587196.611773908,1.0225420488266417
10594341.0,1596557823.0,1.0216918202874374,9.109595774230568e-05,3711137.270649672,1.0228205922884983
10595841.0,1596578061.0,1.0219327750032166,8.702551429586348e-05,3292006.647259891,1.0230618132126696
10597341.0,1596598199.0,1.0221222207719691,7.704859476498608e-05,2711639.9843376284,1.0232514682823826
10598841.0,1596618039.0,1.0222998362828462,7.712291689742082e-05,2643086.366286754,1.023429280024072
10600341.0,1596638978.0,1.0224730737458163,7.748493226397585e-05,2542451.191997111,1.0236027088809574
10601841.0,1596658390.0,1.0225866370311163,8.06338199335807e-05,1666194.222887933,1.0237163976317396
10603341.0,1596678759.0,1.0226814307072096,7.544305507218373e-05,1413118.416864872,1.0238112960365244
10604841.0,1596699367.0,1.0227892522420017,7.466731189676001e-05,1647622.3999406698,1.0239192366932737
10606341.0,1596718408.0,1.0228763680999178,7.122232607314749e-05,1319053.0407164095,1.0240064487973763
10607841.0,1596738160.0,1.0230633446360573,6.719416737422485e-05,2954436.34736532,1.0241936319064515
10609341.0,1596758403.0,1.023190416584236,7.25949112553679e-05,1967746.4657525416,1.0243208442445741
10610841.0,1596777749.0,1.0232678021309696,6.863456662492997e-05,1197205.7010605931,1.0243983152873808
10612341.0,1596798724.0,1.0234415555380447,6.608761061029721e-05,2760149.100919187,1.0245722606583898
10613841.0,1596818352.0,1.0236529164472576,7.097493325817956e-05,3343241.888644576,1.024783855080558
10615341.0,1596838000.0,1.024392995162623,9.43027881963246e-05,10256774.625288785,1.0255247514398702
10616841.0,1596858832.0,1.0247964127645175,0.0001111608529147448,5289466.201991737,1.025928614740247
10618341.0,1596878751.0,1.0249679303212085,0.00011079388575825774,2153711.43070215,1.0261003217906894
10619841.0,1596898354.0,1.025214906463895,0.00010345538834389584,3202458.916470408,1.0263475707942809
10621341.0,1596918712.0,1.0256819326299405,0.00011959896481008956,5638919.956320465,1.0268151129339789
10622841.0,1596938338.0,1.0258472668927174,0.00011912743478234793,1981965.2585051656,1.0269806298591624
10624341.0,1596957934.0,1.0260407181484024,0.00013238112556239714,2248000.4713041186,1.027174294841097
10625841.0,1596977368.0,1.0262565586125114,0.00013056309166048534,2411918.765204132,1.0273903737672037
10627341.0,1596997791.0,1.0264471516926317,0.00012853047252579957,2175326.5440009832,1.0275811774158417
10628841.0,1597017913.0,1.0267569984440192,0.00014199278676307092,3518234.4466395383,1.0278913664880065
10630341.0,1597037878.0,1.026968828508533,0.00013519752548928377,2339921.6306923637,1.0281034305838013
10631841.0,1597057920.0,1.027174577129062,0.00014268975304730059,2260192.192256272,1.0283094065167917
10633341.0,1597078089.0,1.027632853056884,0.00018253594749253457,4646773.277152002,1.0287681887509437
10634841.0,1597097776.0,1.0294274378051893,0.00021684952327988868,15247233.576132715,1.0305647561685598
10636341.0,1597118299.0,1.0302286643612664,0.0002396147966536064,6879316.747327087,1.03136686792513
10637841.0,1597138276.0,1.0307748583958698,0.0002565802854706267,4703288.419911146,1.03191366539858
10639341.0,1597158753.0,1.031508982049597,0.0002748282231272953,5748137.006566525,1.0326486001170618
10640841.0,1597177929.0,1.0328774423492126,0.0003125656299201371,10188979.380460024,1.0340185723008288
10642341.0,1597198178.0,1.0332704846171958,0.00034513648928136695,2836867.189721763,1.0344120488045556
10643841.0,1597218442.0,1.0336292420175357,0.00035971014417947127,2513558.362907052,1.0347712025624862
10645341.0,1597238283.0,1.0340683956768106,0.00043957928532247984,2875282.650610984,1.0352108414016807
10646841.0,1597258002.0,1.0349888676940806,0.0004296271801031215,5815694.255027653,1.0361323303626322
10648341.0,1597277981.0,1.035646142033787,0.0003698460754244674,4133266.040254593,1.0367903308634536
10649841.0,1597298526.0,1.0369148488141158,0.0002305870694952165,9632412.705593944,1.038060439319574
10651341.0,1597318038.0,1.0385897900969658,0.0002765171091167989,14449425.122754633,1.039737231088829
10652841.0,1597338140.0,1.039945137576072,0.00020993800709629725,12190734.995268164,1.0410940759649543
10654341.0,1597357475.0,1.0407175218171545,0.00021720949066178144,6823138.15928191,1.041867313541346
10655841.0,1597377505.0,1.0409633696991638,0.00024274375610104038,2128356.223080873,1.0421134330377506
10657341.0,1597397683.0,1.04116020840524,0.00022836534937271957,1669204.7436810732,1.0423104892125543
10658841.0,1597417820.0,1.0414366334637406,0.00021155638668251704,2134502.735530138,1.0425872196673205
10660341.0,1597437358.0,1.0419069809193675,0.00023989130467859648,4046977.1457167855,1.0430580867659829
10661841.0,1597457184.0,1.0420340117415412,0.00023284722853541612,1083687.6697719693,1.043185257932664
10663341.0,1597476956.0,1.0421359743413183,0.00022523272999926407,885478.1490975618,1.0432873331814077
10664841.0,1597497267.0,1.0423343835667058,0.0002413668865383105,1697668.4371888041,1.0434859616106429
10666341.0,1597517445.0,1.0424942666046255,0.0002508843629703895,1322529.180479407,1.0436460212884195
10667841.0,1597537460.0,1.0427601518735146,0.00024260455107825952,2202297.298620224,1.0439122003091434
10669341.0,1597557418.0,1.0430260849902169,0.00029260645397823613,2114004.882266462,1.0441784272305432
10670841.0,1597577691.0,1.0431541595361535,0.0002805853697374467,1002178.67290622,1.0443066432741006
10672341.0,1597597968.0,1.0435147292323748,0.00030927868575816956,2569812.772050023,1.0446676113301494
10673841.0,1597617142.0,1.0437343314322531,0.0002934236842101438,1654925.604554117,1.0448874561480166
10675341.0,1597637128.0,1.0438596901406911,0.00029373455287514663,958292.9925602078,1.0450129533535997
10676841.0,1597657576.0,1.0442020954590814,0.00028243808362997765,2641789.907756567,1.0453557369636908
10678341.0,1597678089.0,1.044555101800901,0.0002193694175353524,2974236.691456318,1.0457091333092932
10679841.0,1597697957.0,1.0450191711430763,0.00021669040304847802,4015026.7446445823,1.046173715358402
10681341.0,1597718566.0,1.0452549796810269,0.00021413538186219625,1797932.5895360708,1.0464097844192126
10682841.0,1597738445.0,1.0457347037769795,0.00020526743546004785,4601299.38579464,1.046890038517576
10684341.0,1597758541.0,1.0459597625614492,0.00019097848771358096,2092867.5109153984,1.047115345948506
10685841.0,1597777670.0,1.0463005923533684,0.00021021311024017555,3149076.516656399,1.0474565522914736
10687341.0,1597797240.0,1.0464467892828624,0.00020685333219930984,1317043.432335019,1.0476029107403195
10688841.0,1597816935.0,1.0466543209795631,0.00019864151853674568,1912927.6133643384,1.047810671719436
10690341.0,1597837244.0,1.0467993395106134,0.00019116172302853239,1351530.003513813,1.0479558504679354
10691841.0,1597857657.0,1.0470316509810988,0.0002099616981345373,2179638.7031389475,1.0481884185976973
10693341.0,1597877160.0,1.0475918864799385,0.0002731547708037853,4641086.726171613,1.0487492730484878
10694841.0,1597896928.0,1.0477469840481255,0.00025919225173702385,1250262.6631102562,1.0489045419695122
10696341.0,1597917014.0,1.047944855685082,0.00024532008977470567,1646450.6279867887,1.049102632216385
10697841.0,1597936864.0,1.0481101103789112,0.00026289248130888536,1368093.6869512796,1.0492680694847123
10699341.0,1597956399.0,1.048368982922133,0.0002443967272916165,2112370.1209061146,1.0495272280320629
10700841.0,1597976003.0,1.0484849820900983,0.00022949631042662246,981766.6504421234,1.0496433553566902
10702341.0,1597996506.0,1.0486993173006385,0.00021986284287601985,1704896.904448509,1.0498579273662136
10703841.0,1598016412.0,1.0489661648168649,0.00019425964097806667,2442752.9599827533,1.0501250696973723
10705341.0,1598036420.0,1.049187087906035,0.00021869718767300527,2012547.263754964,1.0503462368638583
